Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Time Taken (seconds)
Small,Baseline,536,2,10,42,0.08382358157292033,0.07498355813710124,0.055034803278828766,,,0.08273737502167933
Medium,Baseline,561,6,10,42,0.4564989402003851,0.5842935666697832,0.14657234429198843,,,1.1272892919951119
Large,Baseline,784,10,10,42,0.3749822708889217,0.5131249724620707,0.15193187515825707,1000,42,12.410567083017668
Large,Baseline,784,10,10,42,0.3749822708889217,0.5131249724620707,0.14548055567276896,2000,42,23.78596970802755
Large,Baseline,784,10,10,42,0.3749822708889217,0.5131249724620707,0.14330783989669008,,,66.17122233301052
Small,PCA,2,2,10,42,0.0432072155718407,0.03587590435716508,0.32541912009913143,,,0.06846787402173504
Small,PCA,5,2,10,42,0.06861791810209315,0.05343941431349547,0.14433306411730834,,,0.006406624015653506
Small,PCA,10,2,10,42,0.1111290934512739,0.08466762895701224,0.09346514115610387,,,0.008615082973847166
Small,PCA,20,2,10,42,0.20896316331958595,0.16038819846155575,0.06381900602539152,,,0.009058208990609273
Small,PCA,50,2,10,42,0.1931592366489174,0.14755723187433187,0.04801184452886205,,,0.015402499993797392
Small,PCA,100,2,10,42,0.08382358157292033,0.07498355813710124,0.05506255770197627,,,0.015411792002851143
Small,PCA,200,2,10,42,0.08382358157292033,0.07498355813710124,0.055034806319010775,,,0.017676667019259185
Medium,PCA,2,6,10,42,0.2551397805629852,0.43034449943002945,0.4493382699533819,,,0.07386633299756795
Medium,PCA,5,6,10,42,0.4618043707726334,0.5861828574122869,0.37234219194475027,,,0.07566691600368358
Medium,PCA,10,6,10,42,0.4580181295713951,0.5849511805608744,0.2806843477273512,,,0.10626141697866842
Medium,PCA,20,6,10,42,0.45391006081541513,0.5822949934401811,0.22143822610313574,,,0.12203929200768471
Medium,PCA,50,6,10,42,0.45580831351112866,0.5842977634660079,0.17349757920315514,,,0.13010391700663604
Medium,PCA,100,6,10,42,0.45582940033398656,0.5842545247223596,0.15447515934437955,,,0.1476237500028219
Medium,PCA,200,6,10,42,0.4547563333306509,0.5831943152684248,0.14588154034399903,,,0.22606637500575744
Medium,PCA,500,6,10,42,0.4564989402003851,0.5842935666697832,0.14657234429198834,,,0.6325618330156431
Large,PCA,2,10,10,42,0.26201107235865645,0.41802986736955255,0.3941307204990801,1000,42,0.5953786250029225
