Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Small,Baseline,536,2,10,42002,0.0786321363354865,0.06765679157614196,0.05497677887662961,,,,0.06705629196949303
Small,PCA,2,2,10,42,0.0432072155718407,0.03587590435716508,0.32541912009913143,,,0.13243961012105093,0.01894195901695639
Small,Random Projection,2,2,10,42,0.004836505936194203,0.006678945841950189,0.33363181297912514,,,,0.006362458050716668
Small,Baseline,536,2,10,42005,0.12966621114482113,0.10177744253945561,0.05261264920156257,,,,0.012458999990485609
Small,PCA,5,2,10,42,0.06861791810209315,0.05343941431349547,0.14433306411730834,,,0.30086116126135487,0.006822959054261446
Small,Random Projection,5,2,10,42,0.03939748380076945,0.03205907177369372,0.21178578503389403,,,,0.005913791013881564
Small,Baseline,536,2,10,42010,0.13604278954510904,0.10353179858184348,0.05067225543511185,,,,0.011273541953414679
Small,PCA,10,2,10,42,0.1111290934512739,0.08466762895701224,0.09346514115610387,,,0.5249788992130641,0.006315373990219086
Small,Random Projection,10,2,10,42,0.14943291105657625,0.11476842861451768,0.14884720615009944,,,,0.006459375028498471
Small,Baseline,536,2,10,42020,0.16338875667587294,0.12460653998842794,0.04857461104592979,,,,0.009546832996420562
Small,PCA,20,2,10,42,0.20896316331958595,0.16038819846155575,0.06381900602539152,,,0.8177371501621326,0.009842750034295022
Small,Random Projection,20,2,10,42,0.07833880088772036,0.0606629085005952,0.11059234312218823,,,,0.006741209013853222
Small,Baseline,536,2,10,42050,0.0034865744008652113,0.005973345483128152,0.0418144213206144,,,,0.009995542000979185
Small,PCA,50,2,10,42,0.1931592366489174,0.14755723187433187,0.04801184452886205,,,0.988350706093513,0.015808415948413312
Small,Random Projection,50,2,10,42,0.1360794629248628,0.10505227898614627,0.08698772625450861,,,,0.007612375949975103
Small,Baseline,536,2,10,42100,0.08340792511261728,0.0640123969886456,0.04733259898009849,,,,0.010529749968554825
Small,PCA,100,2,10,42,0.08382358157292033,0.07498355813710124,0.05506255770197627,,,0.9996598101445723,0.015404167002998292
Small,Random Projection,100,2,10,42,0.08341035694849185,0.0640682099493354,0.064064110062006,,,,0.00795824994565919
Small,Baseline,536,2,10,42200,0.07876041188778365,0.07118081390546693,0.058982630483849684,,,,0.010424833977594972
Small,PCA,200,2,10,42,0.08382358157292033,0.07498355813710124,0.055034806319010775,,,0.9999999664458754,0.019017124956008047
Small,Random Projection,200,2,10,42,0.0733978056934703,0.05689870986079054,0.05865186050148261,,,,0.009296250063925982
