Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Small,Baseline,536,5,42002,0.7246376811594203,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.8256302521008403,0.0066712499829009175
Small,PCA,2,5,42,0.5942028985507246,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5966386554621849,0.005791708070319146
Small,Random Projection,2,5,42,0.5652173913043478,0.5666666666666667,0.5,0.53125,0.5773109243697478,0.004144833015743643
Small,Baseline,536,5,42005,0.7246376811594203,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.8142857142857143,0.004978999961167574
Small,PCA,5,5,42,0.6956521739130435,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.7436974789915967,0.005687624972779304
Small,Random Projection,5,5,42,0.5797101449275363,0.5714285714285714,0.5882352941176471,0.5797101449275363,0.538655462184874,0.0047398750321008265
Small,Baseline,536,5,42010,0.8115942028985508,0.8,0.8235294117647058,0.8115942028985508,0.8936974789915968,0.004935083969030529
Small,PCA,10,5,42,0.782608695652174,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8533613445378152,0.005130416015163064
Small,Random Projection,10,5,42,0.7246376811594203,0.7142857142857143,0.7352941176470589,0.7246376811594203,0.753781512605042,0.004558917018584907
Small,Baseline,536,5,42020,0.7536231884057971,0.7575757575757576,0.7352941176470589,0.746268656716418,0.8222689075630252,0.004944291024003178
Small,PCA,20,5,42,0.8115942028985508,0.8387096774193549,0.7647058823529411,0.8,0.8521008403361345,0.005040375050157309
Small,Random Projection,20,5,42,0.7101449275362319,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7752100840336135,0.0045740840141661465
Small,Baseline,536,5,42050,0.7391304347826086,0.8076923076923077,0.6176470588235294,0.7,0.8180672268907563,0.005003958009183407
Small,PCA,50,5,42,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8575630252100841,0.0068363340105861425
Small,Random Projection,50,5,42,0.7391304347826086,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.7865546218487395,0.004761708027217537
Small,Baseline,536,5,42100,0.7101449275362319,0.75,0.6176470588235294,0.6774193548387096,0.7697478991596638,0.0052222919766791165
Small,PCA,100,5,42,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8554621848739496,0.011460417008493096
Small,Random Projection,100,5,42,0.7246376811594203,0.7419354838709677,0.6764705882352942,0.7076923076923077,0.7798319327731091,0.0063972920761443675
Medium,Baseline,561,5,42002,0.8778418730912793,0.8825110322799853,0.8730572984379847,0.8743096803979942,0.9695742290441441,0.155878167017363
Medium,PCA,2,5,42,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.04499779100297019
Medium,Random Projection,2,5,42,0.5266372582287071,0.5278670920071397,0.5162778307431932,0.5152658516343483,0.8264478298604535,0.02356650005094707
Medium,Baseline,561,5,42005,0.8761452324397693,0.8788785505068019,0.8722341240510637,0.8736101473353766,0.9707987187505337,0.15133470797445625
Medium,PCA,5,5,42,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.056963625946082175
Medium,Random Projection,5,5,42,0.66610111978283,0.6775698864138073,0.6579280596194564,0.6582146590042769,0.896677254641415,0.04072491702390835
Medium,Baseline,561,5,42010,0.8825924669155073,0.8861093215731377,0.8782467584838293,0.8795869168154008,0.9701806925979648,0.15370087494375184
Medium,PCA,10,5,42,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.0841494170599617
Medium,Random Projection,10,5,42,0.7271801832371904,0.7409650751670934,0.7190052797973906,0.7214257197447921,0.9252173474384527,0.09642466605873778
Medium,Baseline,561,5,42020,0.8846284356973193,0.8881428432968198,0.8797182811484522,0.8809386386513741,0.9724815358940151,0.15543595800409093
Medium,PCA,20,5,42,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.07428404089296237
